Reporter Identifier,ENSG00000176014
NA18486,35.73393771021585
NA18487,34.54429613850643
NA18488,33.57612315540847
NA18489,31.796246999876903
NA18498,34.98865431919303
NA18499,43.41698804501242
NA18501,40.481652382797726
NA18504,25.375227965679148
NA18505,27.59567931340797
NA18507,19.755989340703813
NA18508,8.469660665578427
NA18516,16.404632386386055
NA18517,22.23921022283733
NA18519,21.066468194759672
NA18520,14.520014412131069
NA18522,42.45214402246784
NA18524,44.63258545803813
NA18526,11.87257058580074
NA18529,23.5373471419316
NA18532,22.678556766917797
NA18534,21.265732737785214
NA18536,39.88824653514805
NA18537,15.587643774239893
NA18542,18.098007555461205
NA18543,63.35895901221825
NA18544,30.34558615412663
NA18545,54.18973487559617
NA18546,16.659721570362528
NA18547,16.76514962978306
NA18548,38.93174657562511
NA18550,41.62616842987928
NA18552,39.52846752037975
NA18555,20.585922947818105
NA18557,35.82944647228729
NA18558,34.61027228956758
NA18559,53.11574045772858
NA18561,26.38651280752105
NA18562,37.36715937656893
NA18563,19.9872264616627
NA18564,28.67397659908089
NA18566,17.62295743288965
NA18570,22.0972329145717
NA18571,6.975887961084211
NA18572,18.288295515630672
NA18573,27.56878595639184
NA18576,25.64216346633597
NA18577,13.439254631431403
NA18579,25.751476757177997
NA18582,29.075543513268407
NA18592,13.392576400579774
NA18593,38.09465942912279
NA18594,17.8560141314545
NA18595,56.369543791332
NA18596,28.15718016743539
NA18597,28.049123251607014
NA18599,60.66024642067611
NA18602,18.285690920257565
NA18603,26.18256761772055
NA18605,24.350464386104694
NA18608,9.365766244962897
NA18609,43.33115943580469
NA18610,21.944942933607894
NA18611,32.88646858412757
NA18612,19.291766571353254
NA18615,40.1874856035694
NA18616,42.14510849723771
NA18617,31.35441543266601
NA18618,20.26363762931896
NA18619,33.733098981940394
NA18620,16.4084413688412
NA18621,38.444756558096316
NA18622,25.732601672145478
NA18623,43.751987878649615
NA18624,29.516855201163324
NA18626,73.93905589760689
NA18627,50.53921856768551
NA18628,32.68831658283825
NA18630,21.822674250211417
NA18631,36.55678709518426
NA18632,46.381580782199926
NA18633,23.63543970420352
NA18634,77.15106093420475
NA18635,22.001984092158235
NA18636,24.65121630333557
NA18637,16.4938038195956
NA18638,85.09901057567055
NA18639,39.41484096414607
NA18640,68.88364545306355
NA18641,54.09550501664204
NA18642,30.468286337355377
NA18645,32.133991796302524
NA18647,47.933843375605036
NA18740,37.065021114495416
NA18745,58.95611668148418
NA18748,52.26530454332273
NA18749,71.45924888964836
NA18852,13.044258991797989
NA18853,13.472776449726396
NA18855,16.017679279770988
NA18858,10.98155635785086
NA18859,22.79798344338686
NA18861,20.494633872861442
NA18862,7.692685431452911
NA18867,8.170676338021918
NA18868,31.826493578481163
NA18870,8.548020341946444
NA18871,25.347946432107086
NA18874,43.26674812148465
NA18909,45.509732771699504
NA18910,45.7604359071801
NA18912,26.812245445246813
NA18913,15.219538025760492
NA18916,29.76286209348947
NA18917,68.74587743432639
NA18923,52.89118378598016
NA18924,6.633911347026436
NA18933,57.024782351894395
NA18934,22.19896116619343
NA18939,32.489343172229646
NA18940,10.710813607669943
NA18942,26.95641317836381
NA18943,40.02883576563999
NA18944,44.70506356641125
NA18945,41.52603620775764
NA18946,17.761734017499837
NA18947,28.647615251898127
NA18948,19.52017901469527
NA18949,26.21471695462133
NA18951,27.236181033470306
NA18952,41.71851285984741
NA18953,25.158594254706397
NA18954,30.556189265033908
NA18956,23.89743115256528
NA18957,35.05373801076174
NA18959,45.031755728578936
NA18960,34.425789648426665
NA18961,44.54679497331356
NA18964,34.477356477779644
NA18965,27.83577517791131
NA18966,34.66761844398331
NA18967,26.503128669821674
NA18968,40.120958380433294
NA18969,31.645338164962578
NA18970,51.99274914726005
NA18971,28.69002354063443
NA18972,22.728870687119237
NA18973,39.470052147504134
NA18974,38.48481152646224
NA18975,50.327298429177745
NA18976,45.20201620456544
NA18977,25.641749295814233
NA18978,32.89669287734203
NA18979,37.39208585683957
NA18980,22.77362883036381
NA18981,31.152085334607182
NA18987,30.00679640027587
NA18990,60.11014478711729
NA18991,25.32454839702546
NA18992,63.00760550823108
NA18993,16.937796351829952
NA18994,41.940328034669506
NA18995,30.864534886140326
NA18997,23.363126918488323
NA18998,32.739821026673305
NA18999,33.466860119566995
NA19000,15.675418465020476
NA19001,31.438625484269963
NA19005,50.21178124516491
NA19007,33.700568400207885
NA19009,31.391030532891136
NA19010,33.35213315211447
NA19027,24.361114980358266
NA19028,66.46303536988569
NA19031,59.17126007175109
NA19035,18.54837900690276
NA19036,36.38766342196872
NA19038,50.036148682913186
NA19041,40.598658154585344
NA19044,22.319890293885702
NA19054,8.85159000506998
NA19055,42.686422437425264
NA19056,22.645887550701023
NA19057,36.14823300298985
NA19058,66.60541125229358
NA19059,26.5801037342781
NA19060,34.347700309302965
NA19062,27.97467480062629
NA19063,31.434899682505367
NA19064,26.58686909711017
NA19065,46.83429862228765
NA19066,38.8298207698633
NA19067,85.793950586664
NA19068,20.857669065078884
NA19070,31.402519865774497
NA19072,65.2181826148182
NA19074,29.18097850441316
NA19075,45.28308271923871
NA19076,56.591670893743704
NA19077,52.724652577620354
NA19078,57.69244602810895
NA19079,50.825464119069224
NA19080,87.40363558345119
NA19081,63.80456317033217
NA19083,62.541810970415185
NA19085,50.937983332359856
NA19086,63.49351937557577
NA19087,32.690640443380715
NA19088,63.81674567563687
NA19093,10.779338900310496
NA19095,66.11036657122906
NA19096,43.38293075102196
NA19098,23.84979807670329
NA19099,25.609360814428097
NA19101,21.899015061902343
NA19102,13.029123571978483
NA19107,58.00451225218679
NA19108,43.10049591502443
NA19113,38.556333056893955
NA19114,33.68978263733216
NA19116,17.20048270554409
NA19117,19.511952790985266
NA19118,14.769993182431369
NA19119,35.115690295917126
NA19121,16.31267959883597
NA19122,32.806046719806126
NA19127,31.493117501240906
NA19128,26.375123984638783
NA19130,13.125420817679188
NA19131,10.113283384113405
NA19137,17.5315487856903
NA19138,29.92598809232954
NA19140,19.068251391167863
NA19141,24.38076988436477
NA19143,23.140233860551053
NA19144,29.87864441595345
NA19146,38.923288139153954
NA19147,40.602643896007926
NA19149,38.06775567452035
NA19150,45.647752065439406
NA19152,15.063127134751946
NA19153,18.472642988149435
NA19159,16.327248350201042
NA19160,27.077435884332967
NA19171,16.340482744655073
NA19172,4.71949285062031
NA19175,37.97520849161898
NA19178,78.83834658355863
NA19179,51.78576612932312
NA19181,27.907492529552044
NA19182,42.81614619021303
NA19184,48.359567348675526
NA19185,56.68564774476403
NA19189,21.997069499691086
NA19190,30.32171156300535
NA19192,8.380322870987769
NA19197,25.92159166695602
NA19198,37.45012518367661
NA19200,8.195836763984746
NA19201,7.124706187975839
NA19203,8.972323311553234
NA19204,10.850226177976689
NA19206,14.680112980421027
NA19207,14.045489367668655
NA19209,31.82236573671221
NA19210,31.614549178938642
NA19213,37.35956913855547
NA19214,30.547857332529645
NA19222,30.35254213937457
NA19223,28.026607278431516
NA19225,53.539528746812536
NA19235,26.676943387398484
NA19236,21.22019304263561
NA19238,14.585630113533131
NA19239,32.179900605766484
NA19247,29.85259499636028
NA19248,18.062579513007584
NA19256,57.05004848665148
NA19257,37.900011414423226
NA19307,62.869799365010735
NA19308,47.384616872228136
NA19309,37.21325083800135
NA19311,27.159613207811393
NA19313,36.27895319113324
NA19314,33.12568758551795
NA19315,42.592202976057465
NA19316,45.070275320031634
NA19317,42.45385789127955
NA19318,30.60972643699448
NA19319,23.26745526089785
NA19321,20.905038735420774
NA19324,15.5082737990678
NA19334,29.71893055835732
NA19346,48.24275219930379
NA19347,36.68815020074843
NA19350,25.66190501689514
NA19352,34.0681837291992
NA19359,74.70856739768584
NA19360,15.227027753772845
NA19371,13.015436882519536
NA19372,26.788847410165186
NA19373,25.980989611738853
NA19375,11.7554435088394
NA19376,33.23411708152279
NA19377,7.933399952342285
NA19379,16.19722480034106
NA19380,43.970605795678395
NA19381,17.490698401970914
NA19382,36.10278515318605
NA19383,18.584616328158265
NA19384,55.03728719272935
NA19385,31.169489161175452
NA19390,16.627502916219626
NA19391,26.876277247666163
NA19393,41.92540403243852
NA19394,42.35137234878752
NA19396,14.874625826498434
NA19397,31.76107716415023
NA19398,44.787249554544935
NA19399,4.7586293655279865
NA19403,26.68132943589438
NA19404,23.98012835535971
NA19428,18.71776261977629
NA19429,37.511377364686474
NA19430,36.21794188753979
NA19434,45.940303752926084
NA19435,20.549848522081607
NA19436,14.599006608333536
NA19437,23.088545726024343
NA19438,30.31085821581855
NA19439,11.395134217168787
NA19440,21.167458217752703
NA19443,39.79725552433255
NA19444,59.34448212690769
NA19445,32.6112566047602
NA19446,34.122847306344426
NA19448,8.814122302766629
NA19449,4.667164571362512
NA19451,23.22860987840713
NA19452,25.36602956764824
NA19455,24.95426955300523
NA19456,40.23510135012086
NA19457,8.88277756523618
NA19462,30.442621628456035
NA19463,14.891774912201868
NA19466,29.868219102736806
NA19467,26.53543397051725
NA19468,43.71485983083271
NA19469,23.759652736241797
NA19470,41.16487604693985
NA19471,9.042325061451193
NA19472,24.701812691298706
NA19473,16.89642955465668
NA19474,32.49212106070809
NA19649,61.18717876605235
NA19651,57.882011356029174
NA19654,51.681705352503656
NA19657,72.52129301497241
NA19660,47.556740249096926
NA19661,35.234250506859546
NA19664,62.77206551946686
NA19669,60.18847327072635
NA19670,53.499879284313096
NA19675,29.01692538745957
NA19676,39.55553763636331
NA19678,18.33790239996237
NA19681,19.194746693403328
