HG00096	HG00096	1
HG00097	HG00097	1
HG00099	HG00099	1
HG00100	HG00100	1
HG00101	HG00101	1
HG00102	HG00102	1
HG00103	HG00103	1
HG00105	HG00105	1
HG00106	HG00106	1
HG00107	HG00107	1
HG00108	HG00108	1
HG00109	HG00109	1
HG00110	HG00110	1
HG00111	HG00111	1
HG00112	HG00112	1
HG00113	HG00113	1
HG00114	HG00114	1
HG00115	HG00115	1
HG00116	HG00116	1
HG00117	HG00117	1
HG00118	HG00118	1
HG00119	HG00119	1
HG00120	HG00120	1
HG00121	HG00121	1
HG00122	HG00122	1
HG00123	HG00123	1
HG00125	HG00125	1
HG00126	HG00126	1
HG00127	HG00127	1
HG00128	HG00128	1
HG00129	HG00129	1
HG00130	HG00130	1
HG00131	HG00131	1
HG00132	HG00132	1
HG00133	HG00133	1
HG00136	HG00136	1
HG00137	HG00137	1
HG00138	HG00138	1
HG00139	HG00139	1
HG00140	HG00140	1
HG00141	HG00141	1
HG00142	HG00142	1
HG00143	HG00143	1
HG00145	HG00145	1
HG00146	HG00146	1
HG00148	HG00148	1
HG00149	HG00149	1
HG00150	HG00150	1
HG00151	HG00151	1
HG00154	HG00154	1
HG00155	HG00155	1
HG00157	HG00157	1
HG00158	HG00158	1
HG00159	HG00159	1
HG00160	HG00160	1
HG00171	HG00171	1
HG00173	HG00173	1
HG00174	HG00174	1
HG00176	HG00176	1
HG00177	HG00177	1
HG00178	HG00178	1
HG00179	HG00179	1
HG00180	HG00180	1
HG00181	HG00181	1
HG00182	HG00182	1
HG00183	HG00183	1
HG00185	HG00185	1
HG00186	HG00186	1
HG00187	HG00187	1
HG00188	HG00188	1
HG00189	HG00189	1
HG00190	HG00190	1
HG00231	HG00231	1
HG00232	HG00232	1
HG00233	HG00233	1
HG00234	HG00234	1
HG00235	HG00235	1
HG00236	HG00236	1
HG00237	HG00237	1
HG00238	HG00238	1
HG00239	HG00239	1
HG00240	HG00240	1
HG00242	HG00242	1
HG00243	HG00243	1
HG00244	HG00244	1
HG00245	HG00245	1
HG00246	HG00246	1
HG00250	HG00250	1
HG00251	HG00251	1
HG00252	HG00252	1
HG00253	HG00253	1
HG00254	HG00254	1
HG00255	HG00255	1
HG00256	HG00256	1
HG00257	HG00257	1
HG00258	HG00258	1
HG00259	HG00259	1
HG00260	HG00260	1
HG00261	HG00261	1
HG00262	HG00262	1
HG00263	HG00263	1
HG00264	HG00264	1
HG00265	HG00265	1
HG00266	HG00266	1
HG00267	HG00267	1
HG00268	HG00268	1
HG00269	HG00269	1
HG00271	HG00271	1
HG00272	HG00272	1
HG00273	HG00273	1
HG00274	HG00274	1
HG00275	HG00275	1
HG00276	HG00276	1
HG00277	HG00277	1
HG00278	HG00278	1
HG00280	HG00280	1
HG00281	HG00281	1
HG00282	HG00282	1
HG00284	HG00284	1
HG00285	HG00285	1
HG00288	HG00288	1
HG00290	HG00290	1
HG00304	HG00304	1
HG00306	HG00306	1
HG00308	HG00308	1
HG00309	HG00309	1
HG00310	HG00310	1
HG00311	HG00311	1
HG00313	HG00313	1
HG00315	HG00315	1
HG00318	HG00318	1
HG00319	HG00319	1
HG00320	HG00320	1
HG00321	HG00321	1
HG00323	HG00323	1
HG00324	HG00324	1
HG00325	HG00325	1
HG00326	HG00326	1
HG00327	HG00327	1
HG00328	HG00328	1
HG00329	HG00329	1
HG00330	HG00330	1
HG00331	HG00331	1
HG00332	HG00332	1
HG00334	HG00334	1
HG00335	HG00335	1
HG00336	HG00336	1
HG00337	HG00337	1
HG00338	HG00338	1
HG00339	HG00339	1
HG00341	HG00341	1
HG00342	HG00342	1
HG00343	HG00343	1
HG00344	HG00344	1
HG00345	HG00345	1
HG00346	HG00346	1
HG00349	HG00349	1
HG00350	HG00350	1
HG00351	HG00351	1
HG00353	HG00353	1
HG00355	HG00355	1
HG00356	HG00356	1
HG00357	HG00357	1
HG00358	HG00358	1
HG00360	HG00360	1
HG00361	HG00361	1
HG00362	HG00362	1
HG00364	HG00364	1
HG00365	HG00365	1
HG00366	HG00366	1
HG00367	HG00367	1
HG00368	HG00368	1
HG00369	HG00369	1
HG00371	HG00371	1
HG00372	HG00372	1
HG00373	HG00373	1
HG00375	HG00375	1
HG00376	HG00376	1
HG00378	HG00378	1
HG00379	HG00379	1
HG00380	HG00380	1
HG00381	HG00381	1
HG00382	HG00382	1
HG00383	HG00383	1
HG00384	HG00384	1
HG00403	HG00403	3
HG00404	HG00404	3
HG00406	HG00406	3
HG00407	HG00407	3
HG00409	HG00409	3
HG00410	HG00410	3
HG00419	HG00419	3
HG00421	HG00421	3
HG00422	HG00422	3
HG00428	HG00428	3
HG00436	HG00436	3
HG00437	HG00437	3
HG00442	HG00442	3
HG00443	HG00443	3
HG00445	HG00445	3
HG00446	HG00446	3
HG00448	HG00448	3
HG00449	HG00449	3
HG00451	HG00451	3
HG00452	HG00452	3
HG00457	HG00457	3
HG00458	HG00458	3
HG00463	HG00463	3
HG00464	HG00464	3
HG00472	HG00472	3
HG00473	HG00473	3
HG00475	HG00475	3
HG00476	HG00476	3
HG00478	HG00478	3
HG00479	HG00479	3
HG00500	HG00500	3
HG00513	HG00513	3
HG00524	HG00524	3
HG00525	HG00525	3
HG00530	HG00530	3
HG00531	HG00531	3
HG00533	HG00533	3
HG00534	HG00534	3
HG00536	HG00536	3
HG00537	HG00537	3
HG00542	HG00542	3
HG00543	HG00543	3
HG00551	HG00551	4
HG00553	HG00553	4
HG00554	HG00554	4
HG00556	HG00556	3
HG00557	HG00557	3
HG00559	HG00559	3
HG00560	HG00560	3
HG00565	HG00565	3
HG00566	HG00566	3
HG00580	HG00580	3
HG00581	HG00581	3
HG00583	HG00583	3
HG00584	HG00584	3
HG00589	HG00589	3
HG00590	HG00590	3
HG00592	HG00592	3
HG00593	HG00593	3
HG00595	HG00595	3
HG00596	HG00596	3
HG00598	HG00598	3
HG00599	HG00599	3
HG00607	HG00607	3
HG00608	HG00608	3
HG00610	HG00610	3
HG00611	HG00611	3
HG00613	HG00613	3
HG00614	HG00614	3
HG00619	HG00619	3
HG00620	HG00620	3
HG00622	HG00622	3
HG00623	HG00623	3
HG00625	HG00625	3
HG00626	HG00626	3
HG00628	HG00628	3
HG00629	HG00629	3
HG00631	HG00631	3
HG00632	HG00632	3
HG00634	HG00634	3
HG00637	HG00637	4
HG00638	HG00638	4
HG00640	HG00640	4
HG00641	HG00641	4
HG00650	HG00650	3
HG00651	HG00651	3
HG00653	HG00653	3
HG00654	HG00654	3
HG00656	HG00656	3
HG00657	HG00657	3
HG00662	HG00662	3
HG00663	HG00663	3
HG00671	HG00671	3
HG00672	HG00672	3
HG00674	HG00674	3
HG00675	HG00675	3
HG00683	HG00683	3
HG00684	HG00684	3
HG00689	HG00689	3
HG00690	HG00690	3
HG00692	HG00692	3
HG00693	HG00693	3
HG00698	HG00698	3
HG00699	HG00699	3
HG00701	HG00701	3
HG00704	HG00704	3
HG00705	HG00705	3
HG00707	HG00707	3
HG00708	HG00708	3
HG00717	HG00717	3
HG00728	HG00728	3
HG00729	HG00729	3
HG00731	HG00731	4
HG00732	HG00732	4
HG00734	HG00734	4
HG00736	HG00736	4
HG00737	HG00737	4
HG00739	HG00739	4
HG00740	HG00740	4
HG00742	HG00742	4
HG00743	HG00743	4
HG00759	HG00759	3
HG00766	HG00766	3
HG00844	HG00844	3
HG00851	HG00851	3
HG00864	HG00864	3
HG00867	HG00867	3
HG00879	HG00879	3
HG00881	HG00881	3
HG00956	HG00956	3
HG00978	HG00978	3
HG00982	HG00982	3
HG01028	HG01028	3
HG01029	HG01029	3
HG01031	HG01031	3
HG01046	HG01046	3
HG01047	HG01047	4
HG01048	HG01048	4
HG01049	HG01049	4
HG01051	HG01051	4
HG01052	HG01052	4
HG01054	HG01054	4
HG01055	HG01055	4
HG01058	HG01058	4
HG01060	HG01060	4
HG01061	HG01061	4
HG01063	HG01063	4
HG01064	HG01064	4
HG01066	HG01066	4
HG01067	HG01067	4
HG01069	HG01069	4
HG01070	HG01070	4
HG01072	HG01072	4
HG01073	HG01073	4
HG01075	HG01075	4
HG01077	HG01077	4
HG01079	HG01079	4
HG01080	HG01080	4
HG01082	HG01082	4
HG01083	HG01083	4
HG01085	HG01085	4
HG01086	HG01086	4
HG01088	HG01088	4
HG01089	HG01089	4
HG01092	HG01092	4
HG01094	HG01094	4
HG01095	HG01095	4
HG01097	HG01097	4
HG01098	HG01098	4
HG01101	HG01101	4
HG01102	HG01102	4
HG01104	HG01104	4
